ISO_code,Cname,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
JOR,Jordan,29,40,48,56,65,73,81,87,87,84,87,85,91,88,91,92,94,95,93,83,94,99,95,96,99,95,99,95,95,95,98,98,98,97
KWT,Kuwait,48,71,79,80,88,91,93,95,97,98,66,75,85,95,98,98,99,95,99,96,99,99,97,97,97,99,99,99,99,99,98,99,99,99
LBN,Lebanon,,,1,8,16,23,30,39,48,58,61,65,76,88,88,85,85,89,83,77,71,65,59,53,58,63,69,74,79,79,79,79,79,79
LBY,Libya,61,66,65,71,76,75,78,75,76,79,89,87,88,91,92,92,93,91,92,92,93,93,91,96,99,97,98,98,98,98,98,98,98,98
MAR,Morocco,,,17,35,42,45,58,73,81,82,79,80,81,83,87,88,93,92,91,90,93,96,94,90,95,97,95,95,96,98,98,99,99,99
OMN,Oman,22,10,24,34,53,65,79,86,87,94,98,96,96,95,97,98,98,98,98,99,99,99,99,98,98,98,96,97,98,99,99,99,99,99
PAK,Pakistan,1,2,3,19,33,38,41,43,46,48,50,51,52,52,53,47,50,52,54,56,59,61,63,61,67,73,71,67,67,57,69,63,61,61
QAT,Qatar,26,10,22,69,62,62,62,60,73,79,79,84,86,86,86,87,90,87,89,87,91,92,99,93,99,99,99,92,96,99,99,98,97,99
SAU,Saudi Arabia,8,12,53,65,71,79,77,77,81,90,88,95,88,91,93,94,92,92,93,92,94,94,97,96,97,97,95,96,97,98,98,98,98,98
SOM,Somalia,9,3,4,6,16,35,25,28,33,30,30,30,32,33,35,34,33,25,32,38,24,20,45,40,40,35,35,35,34,43,46,46,46,46
TUN,Tunisia,,,43,42,55,65,67,81,87,93,93,94,94,92,91,91,92,92,94,90,95,92,94,90,95,96,98,98,98,98,97,96,96,94
YEM,Yemen,2,4,4,6,8,13,15,22,34,48,69,53,46,51,31,40,43,41,66,74,71,73,64,66,76,76,68,74,73,69,73,71,71,78
ALB,Albania,90,90,93,96,96,96,96,96,96,96,88,80,87,76,90,91,92,95,89,85,95,95,96,93,96,97,95,97,98,97,99,99,98,99
AND,Andorra,,,,,,,,,,,,,,,,,,90,90,97,97,97,98,96,98,94,91,94,98,98,99,99,98,95
ARM,Armenia,,,,,,,,,,,,,93,95,95,96,89,92,94,92,92,93,91,94,92,94,92,92,94,96,97,97,97,97
AUT,Austria,,25,25,25,30,40,60,60,60,60,60,60,60,60,60,60,87,90,78,65,75,79,78,79,74,75,80,79,83,76,76,76,76,76
AZE,Azerbaijan,,,,,,,,,,,,,52,49,60,64,65,66,67,68,67,68,66,67,67,67,69,75,79,85,89,92,94,98
BLR,Belarus,,,,,,,,,,,,,94,96,97,93,96,97,98,98,98,99,99,99,99,99,97,99,99,99,99,99,98,99
BEL,Belgium,,50,58,66,74,82,90,50,75,75,85,67,87,70,78,85,73,76,80,82,82,82,82,82,82,88,92,92,93,95,95,95,96,92
BIH,Bosnia and Herzegovina,,,,,,,,,,,,,52,48,57,53,70,86,84,83,80,92,89,84,88,90,85,96,84,93,91,89,94,94
BGR,Bulgaria,98,98,90,98,98,99,99,99,99,99,99,98,92,88,93,94,95,93,95,96,89,90,92,96,95,96,96,96,96,96,97,95,94,94
HRV,Croatia,,,,,,,,,,,,,90,90,90,92,92,91,91,92,93,94,95,95,96,96,95,96,98,95,96,96,95,94
CYP,Cyprus,29,28,21,19,25,43,60,91,74,76,77,78,80,81,82,83,90,90,89,87,86,86,86,86,86,86,87,87,87,87,87,87,86,86
DNK,Denmark,,,,,,,,82,72,80,84,86,85,81,88,88,85,84,91,92,99,94,95,96,96,95,90,89,87,84,85,87,90,89
EST,Estonia,,,,,,,,,,,,,,74,76,81,86,88,89,92,93,95,95,95,96,96,96,96,95,95,95,94,94,94
FIN,Finland,,70,75,81,83,85,87,92,98,95,97,97,99,99,99,98,98,96,96,96,96,96,96,97,97,97,97,98,97,98,98,97,97,97
FRA,France,,,,15,26,35,39,45,51,58,71,74,76,78,80,83,84,83,82,83,84,85,86,87,88,87,89,90,89,89,89,89,89,89
